ASIN,EAN,Plastic,,
B071WPQNZS,3337871323332,Polymethyl Methacrylate,,
B07FB1KRCW,4000196015266,styrene/acrylates copolymer,,
B012BNT53Q,4005900216878,Styrene/Acrylates Copolymer,,
B00N0AG844,3574661099484,styrene/acrylates copolymer,,
B0158TRYN8,3600531288778,Nylon-12,,
B075FZNJB7,681619802652,POLYETHYLENE,,
B01BH1YRJ0,849953006468,Nylon-12,,
B007B8UI9W,3600530751372,NYLON-12,,
B0015UJ2VW,4000196014511,STYRENE/ACRYLATES COPOLYMER,,
B002WDKJZO,3337872411403,Polyethylene,,
B004LXMLS6,4250338408405,POLYETHYLENE,,
B004FUV2WG,843095013810,Polyethylene,,
B0032GQFK8,843095012431,Nylon-12,,
B01BWYD4R8,4250502830094,Nylon 12,,
B07233YL6N,3700076446845,NYLON-12,Polypropylene,Polyethylene
B071Z2744X,4062300271982,Acrylates Crosspolymer-4 + 1,,
B01I6JN1HU,602004071613,Polyethylene,,
B00MWM82H2,849953003610,Nylon-12,,
B00M9822BQ,4005900083241,Styrene/Acrylates Copolymer,,
B00L3808X2,4049775573711,nylon-12,,
B00G3C69J0,3348901126359,Styrene/Acrylates Copolymer,,
B00AI7CNLO,8711700927536,Styrene/Acrylates Copolymer,,
B06Y3P4776,58655720019,Polyethylene,,
B076YMQYDX,846733021918,Polymethyl Methacrylate,,
B07BQY3QQ1,651986702398,Nylon-12,,
B0012QB5V4,4005808129447,Styrene/Acrylates Copolymer,,
B076YJHM2Y,5057566008457,Nylon 12,,
B07F9ZK1R8,4000196021571,Styrene/Acrylates Copolymer,,
B00TH3BG8G,8711600451711,Polyurethane-39,,
B00W69MMV8,800897125264,Nylon-12,Polymethyl Methacrylate,
B0006O0XVG,5016365007023,Styrene/Acrylates Copolymer,,
B00MAIV41Y,5011451106260,Styrene/Acrylates Copolymer,,
B00BCUJHZQ,3348901134392,Nylon-12,,
B003UAAITA,604214915183,Polyethylene Terephthalate,,
B00BNAQVKO,20714243746,nylon-12,,
B018GSKC50,8008970039183,STYRENE/ACRYLATES COPOLYMER,,
B01GR3MFV0,4000196927217,STYRENE/ACRYLATES COPOLYMER,,
B01E9AJMZK,5060388883881,Styrene/Acrylates Copolymer,,
B00NYXGMZ2,849953003405,Nylon-12,,
B01HPMGGV2,5701278615204,Nylon-12,,
B00I7TI3DM,8001280029417,Styrene/acrylates Copolymer,,
B00NETMWSW,8002410042283,Styrene/acrylates Copolymer,,
3772441386,9783772441387,Polyethylene,,
B00E4KXR6G,8003510017386,STYRENE\ACRYLATES COPOLYMER,,
B006TXA89K,5055193511302,Polyethylene Terephthalate,,
B0030LOSU4,4062300036581,Styrene/Acrylates Copolymer,,
B003ODRK8K,3574660540956,Styrene/Acrylates Copolymer,,
B006IDVM3C,3574660696226,Styrene/Acrylates Copolymer,,
B0085U7Y4M,9314839007071,Styrene/Acrylates Copolymer,,
B01BGT8ZGY,4008268014964,Styrene/Acrylates Copolymer,,
B00ATNXF9Q,6412600810837,Nylon-12,,
B00B1PQRUK,44386078635,Nylon-12,,
B07FB15GLD,4000196028303,Styrene / Acrylates Copolymer,,
B01C5Z70YQ,44386078628,Nylon-12,,
B0711LQLDQ,41554249415,Nylon-12,,
B00BGFVRWI,77802582720,Nylon-12,,
B00AYORGJA,77802582423,Nylon-12,,
B0169YXSTU,41554460391,Polyethylene,,
B072F7WHSX,41554460346,Polyethylene,,
B00BGFVO12,77802582829,Nylon-12,,
B0169YXT1W,41554460353,Polyethylene,,
