ASIN,EAN,UPC,ISBN,SKU,MPN,Title,Brand,Link,Sellers,Amazon,BSR,Products,Lowest Price,BuyBox Price,Total Fee,FBA Revenue,Fees Breakdown,Image Url
,3600531305895,,,,,,,-,,No,-,-,,,,,,-
,4062300041486,,,,,,,-,,No,-,-,,,,,,-
,4251232215151,,,,,,,-,,No,-,-,,,,,,-
,4017512120603,,,,,,,-,,No,-,-,,,,,,-
,0843095011281,,,,,,,-,,No,-,-,,,,,,-
,4002448041306,,,,,,,-,,No,-,-,,,,,,-
B071WPQNZS,3337871323332,,,,,"Vichy LiftActiv Supreme Anti-Wrinkle Eye Cream, 0.51 Fl. Oz.",Vichy,https://www.amazon.com/dp/B071WPQNZS,1,No,-,-,33.5,33.5,8.22,25.28,"ReferralFee = 5.03, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/31HJUVQ6EuL._SL160_.jpg
B07FB1KRCW,4000196015266,,,,,Thyme Loose Herb Pineapple Black Tea Blend 100g Organic With Mint Flavour,The Herbal Tea Company,https://www.amazon.com/dp/B07FB1KRCW,1,No,-,-,15.18,24.68,,,,https://images-na.ssl-images-amazon.com/images/I/516W6mljnEL._SL160_.jpg
,4002448041405,,,,,,,-,,No,-,-,,,,,,-
,4008233127965,,,,,,,-,,No,-,-,,,,,,-
B012BNT53Q,4005900216878,,,944670,944670,Nivea Intimo Sensitive Intimate Wash Lotion 250 ml / 8.3 fl oz (with pump),Nivea,https://www.amazon.com/dp/B012BNT53Q,4,No,-,-,9.5,15.5,4.62,4.88,"ReferralFee = 1.43, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/419fLJXxaWL._SL160_.jpg
B00N0AG844,3574661099484,,,U_3574661099484,U_3574661099484,Penaten Baby Shower & Shampoo 2 in 1 - 200ml / 6.76 fl.oz,Penaten,https://www.amazon.com/dp/B00N0AG844,0,No,371313,Baby,,,4.69,,"ReferralFee = 1.50, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/21b%2BwfXshKL._SL160_.jpg
B0158TRYN8,3600531288778,,,3600531288778,3600531288778,Maybelline Master Brow Pro Palette Kit Deep Brown 3.4g by Maybelline,Maybelline New York,https://www.amazon.com/dp/B0158TRYN8,3,No,1559012,Beauty & Personal Care,22.86,22.86,5.84,17.02,"ReferralFee = 3.43, FBAFees = 2.41",https://images-na.ssl-images-amazon.com/images/I/510HJl5wUoL._SL160_.jpg
,4010355432117,,,,,,,-,,No,-,-,,,,,,-
,7630028603377,,,,,,,-,,No,-,-,,,,,,-
,40623429,,,,,,,-,,No,-,-,,,,,,-
B075FZNJB7,0681619802652,681619802652,,84514,84514,How 'Bout Them Apples? Cheek & Lip Cream Palette the Balm Palette Women 0.7 oz (Pack of 2),,https://www.amazon.com/dp/B075FZNJB7,1,No,-,-,64,65.9,,,,https://images-na.ssl-images-amazon.com/images/I/51BDkGGhjtL._SL160_.jpg
B01BH1YRJ0,"0849953006468
0798167066471","798167066471
849953006468",,bhc29-eye-cheek,bhc29-eye-cheek,BH Cosmetics Pride + Prejudice + Zombies - Eye + Cheek Palette,BHCosmetics,https://www.amazon.com/dp/B01BH1YRJ0,0,No,645333,Beauty & Personal Care,,,6.21,,"ReferralFee = 1.50, FBAFees = 4.71",https://images-na.ssl-images-amazon.com/images/I/41pdMCoj8OL._SL160_.jpg
B007B8UI9W,3600530751372,,,3600530751556,3600530751556,Maybelline Fit Me! Pressed Powder 220 Natural Beige 9g by Maybelline,Maybelline New York,https://www.amazon.com/dp/B007B8UI9W,1,No,956250,Beauty & Personal Care,12,12,4.99,7.01,"ReferralFee = 1.80, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/51be4ECScKL._SL160_.jpg
,0604214921047,,,,,,,-,,No,-,-,,,,,,-
,0843095013797,,,,,,,-,,No,-,-,,,,,,-
,3614224041175,,,,,,,-,,No,-,-,,,,,,-
B0015UJ2VW,4000196014511,,,2208067-7,2208067-7,Litamin Wild Rosen Milch- Shower Gel -250 ml,Litamin,https://www.amazon.com/dp/B0015UJ2VW,0,No,3031339,Beauty & Personal Care,,,4.69,,"ReferralFee = 1.50, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/41hy504UF9L._SL160_.jpg
,7614700009046,,,,,,,-,,No,-,-,,,,,,-
,4008491210041,,,,,,,-,,No,-,-,,,,,,-
,9331137020144,,,,,,,-,,No,-,-,,,,,,-
,4008233121741,,,,,,,-,,No,-,-,,,,,,-
,6957317672250,,,,,,,-,,No,-,-,,,,,,-
,4008233127958,,,,,,,-,,No,-,-,,,,,,-
,4008233121727,,,,,,,-,,No,-,-,,,,,,-
,4250947586679,,,,,,,-,,No,-,-,,,,,,-
,0849953003603,,,,,,,-,,No,-,-,,,,,,-
,4250947598580,,,,,,,-,,No,-,-,,,,,,-
,4305615126616,,,,,,,-,,No,-,-,,,,,,-
,7630028603469,,,,,,,-,,No,-,-,,,,,,-
B002WDKJZO,3337872411403,,,1712533,1712533,"La Roche-Posay Ultra-Fine Face Scrub for Sensitive Skin, 1.69 Fl. Oz.",La Roche-Posay,https://www.amazon.com/dp/B002WDKJZO,1,Yes,15301,Beauty & Personal Care,17.99,17.99,5.89,12.1,"ReferralFee = 2.70, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/41dfHUqzcPL._SL160_.jpg
B004LXMLS6,4250338408405,,,-,-,Essence Coverstick - 04 True Nude,,https://www.amazon.com/dp/B004LXMLS6,0,No,1571534,Beauty & Personal Care,,,4.69,,"ReferralFee = 1.50, FBAFees = 3.19",-
,4311501603024,,,,,,,-,,No,-,-,,,,,,-
,2200076849130,,,,,,,-,,No,-,-,,,,,,-
,4017512125776,,,,,,,-,,No,-,-,,,,,,-
,4017512191146,,,,,,,-,,No,-,-,,,,,,-
B004FUV2WG,0843095013810,843095013810,,00-10111-09,00-10111-09,Laura Geller New York Real Deal Concealer,LAURA GELLER NEW YORK,https://www.amazon.com/dp/B004FUV2WG,2,Yes,220818,Beauty & Personal Care,22,29.95,6.49,15.51,"ReferralFee = 3.30, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/41hdmOGo-zL._SL160_.jpg
B0032GQFK8,"0843095012431
0709102080407
0885770872367
8853737828445","709102080407
843095012431
885770872367",,00-BRB002-R1,00-BRB002-R1,Laura Geller New York Baked Bronze-n-Brighten,LAURA GELLER NEW YORK,https://www.amazon.com/dp/B0032GQFK8,2,Yes,53343,Beauty & Personal Care,34,34,8.29,25.71,"ReferralFee = 5.10, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/51gp6vIHPaL._SL160_.jpg
,4017512142247,,,,,,,-,,No,-,-,,,,,,-
,8717163429884,,,,,,,-,,No,-,-,,,,,,-
,4250502804194,,,,,,,-,,No,-,-,,,,,,-
,0773602394609,,,,,,,-,,No,-,-,,,,,,-
,4017512120597,,,,,,,-,,No,-,-,,,,,,-
B01BWYD4R8,4250502830094,,,4250502830094,4250502830094,ZOEVA NUDE SPECTRUM EYESHADOW PALETTE “Every color illuminates.” 100% Authentic,ZOEVA,https://www.amazon.com/dp/B01BWYD4R8,3,No,302552,Beauty & Personal Care,59.99,72.78,12.19,47.8,"ReferralFee = 9.00, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/11wQwigKEIL._SL160_.jpg
,0604214916630,,,,,,,-,,No,-,-,,,,,,-
,4084500152045,,,,,,,-,,No,-,-,,,,,,-
B07233YL6N,3700076446845,,,V17104004,V17104004,"By Terry Sun Designer Palette, 4 - Savannah Love, 128 Gram",By Terry,https://www.amazon.com/dp/B07233YL6N,1,No,1169045,Beauty & Personal Care,79,,15.04,63.96,"ReferralFee = 11.85, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/41HaiMjBEBL._SL160_.jpg
,3605792982465,,,,,,,-,,No,-,-,,,,,,-
,8718924879115,,,,,,,-,,No,-,-,,,,,,-
,5900717801318,,,,,,,-,,No,-,-,,,,,,-
,4008491124706,,,,,,,-,,No,-,-,,,,,,-
,4251232272574,,,,,,,-,,No,-,-,,,,,,-
,9000100008952,,,,,,,-,,No,-,-,,,,,,-
B071Z2744X,4062300271982,,,,,Hipp Baby Shampoo 200ml (Pack of 6),HIP Interactive,https://www.amazon.com/dp/B071Z2744X,0,No,-,-,,,,,,https://images-na.ssl-images-amazon.com/images/I/31mb3hy0VbL._SL160_.jpg
,0800897836245,,,,,,,-,,No,-,-,,,,,,-
B01I6JN1HU,0602004071613,602004071613,,40135,40135,"Benefit Ka Brow Cream Gel Brow Color With Brush, No. 2 Light, 0.1 Ounce",Benefit Cosmetics,https://www.amazon.com/dp/B01I6JN1HU,15,No,260444,Beauty & Personal Care,16.67,20.99,5.69,10.98,"ReferralFee = 2.50, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/51YDn-QIh8L._SL160_.jpg
B00MWM82H2,"0849953003610
0798304122060
0793379261881
8852239024294","793379261881
849953003610
798304122060",,849953003610,849953003610,BH Cosmetics Contour and Blush Palette,BHCosmetics,https://www.amazon.com/dp/B00MWM82H2,0,No,404660,Beauty & Personal Care,,,3.91,,"ReferralFee = 1.50, FBAFees = 2.41",https://images-na.ssl-images-amazon.com/images/I/31mH4Q9GeTL._SL160_.jpg
B00M9822BQ,4005900083241,,,80909,80909,Nivea Creme care Cremebad 750 ml,Nivea,https://www.amazon.com/dp/B00M9822BQ,3,No,-,-,13.75,19.05,6.19,7.56,"ReferralFee = 1.10, FBAFees = 5.09",https://images-na.ssl-images-amazon.com/images/I/41g%2BQKcAo7L._SL160_.jpg
,4008491209762,,,,,,,-,,No,-,-,,,,,,-
,29761906,,,,,,,-,,No,-,-,,,,,,-
,3145891924107,,,,,,,-,,No,-,-,,,,,,-
B00L3808X2,4049775573711,,,16524,16524,MARKWINS WET N WILD ICON EYESHADOW COLLECTION POSTER CHILD,Markwins,https://www.amazon.com/dp/B00L3808X2,0,No,-,-,,,3.91,,"ReferralFee = 1.50, FBAFees = 2.41",https://images-na.ssl-images-amazon.com/images/I/51RlP7Pmd4L._SL160_.jpg
B00G3C69J0,"3348901126359
0617689051287
7168747851569
6909121545411
0012301707199
6909121345417","012301707199
617689051287",,447415,447415,Dior Homme (new) By Christian Dior Cologne Spray/FN243068/4.2 oz/men/,DIOR HOMME (NEW),https://www.amazon.com/dp/B00G3C69J0,0,No,869066,Beauty & Personal Care,,,6.21,,"ReferralFee = 1.50, FBAFees = 4.71",https://images-na.ssl-images-amazon.com/images/I/31GSUGy2oPL._SL160_.jpg
,4311501443576,,,,,,,-,,No,-,-,,,,,,-
B00AI7CNLO,8711700927536,,,U092755,U092755,Dove 1 Purely Pampering Nourishing Moisturising Cream With Almond & Hibuscus - 750 Ml,Dove,https://www.amazon.com/dp/B00AI7CNLO,1,No,-,-,34.99,,10.34,24.65,"ReferralFee = 5.25, FBAFees = 5.09",https://images-na.ssl-images-amazon.com/images/I/21kHN-SqnFL._SL160_.jpg
,4017512174040,,,,,,,-,,No,-,-,,,,,,-
,5397119223266,,,,,,,-,,No,-,-,,,,,,-
,4008233133805,,,,,,,-,,No,-,-,,,,,,-
,7890704810516,,,,,,,-,,No,-,-,,,,,,-
B06Y3P4776,0058655720019,058655720019,,72001,72001,"Lise Watier Mineral Compact Powder, Neutre, 0.35 oz",Lise Watier,https://www.amazon.com/dp/B06Y3P4776,2,Yes,-,-,36,36,8.59,27.41,"ReferralFee = 5.40, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/51PlO1LebwL._SL160_.jpg
B076YMQYDX,0846733021918,846733021918,,Tarte,Tarte,Tarte Miracles of the Amazon Eye & Cheek Palette - LIMITED EDITION,Tarte,https://www.amazon.com/dp/B076YMQYDX,5,No,442601,Beauty & Personal Care,27.14,44.99,7.26,19.88,"ReferralFee = 4.07, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/41O7npLVmHL._SL160_.jpg
,8005610427614,,,,,,,-,,No,-,-,,,,,,-
,4305175971763,,,,,,,-,,No,-,-,,,,,,-
,4008233121758,,,,,,,-,,No,-,-,,,,,,-
,8710908657979,,,,,,,-,,No,-,-,,,,,,-
,4008491212908,,,,,,,-,,No,-,-,,,,,,-
B07BQY3QQ1,0651986702398,651986702398,,na,na,"Natural Face Highlight, Blush, and Bronzing Veil Face Palette",Too Faced,https://www.amazon.com/dp/B07BQY3QQ1,12,No,331091,Beauty & Personal Care,38.98,43.84,9.04,29.94,"ReferralFee = 5.85, FBAFees = 3.19",https://images-na.ssl-images-amazon.com/images/I/3169kdCsZtL._SL160_.jpg
,5901501016994,,,,,,,-,,No,-,-,,,,,,-
